RNK,PLAYER,TEAM,POS,C/A,YDS,TD,INT,RUSH,YDS,TD,REC,YDS,TD,PTS
205,Greg Zuerlein,StL,K,0/0,0,0,0,0,0,0,0,0,0,130
206,Jonathan Dwyer,Pit,RB,0/0,0,0,0,62,243,1,11,76,0,37
207,Rashad Jennings,Oak,RB,0/0,0,0,0,85,372,1,18,130,0,52
208,Knowshon Moreno,Den,RB,0/0,0,0,0,51,213,1,12,78,0,34
209,Knile Davis,KC,RB,0/0,0,0,0,77,314,2,8,56,0,44
210,Jermaine Gresham,Cin,TE,0/0,0,0,0,0,0,0,46,533,3,69
211,Rob Housler,Ari,TE,0/0,0,0,0,0,0,0,52,510,2,63
212,Evan Royster,Wsh,RB,0/0,0,0,0,40,165,0,17,128,0,28
213,Brian Quick,StL,WR,0/0,0,0,0,0,0,0,41,571,2,67
214,Alex Smith,KC,QB,217/361,2466,17,6,41,147,1,0,0,0,170
215,DuJuan Harris,GB,RB,0/0,0,0,0,43,205,1,5,47,0,30
216,Tyler Eifert,Cin,TE,0/0,0,0,0,0,0,0,41,529,2,64
217,Cordarrelle Patterson,Min,WR,0/0,0,0,0,3,25,0,24,388,3,58
218,Keenan Allen,SD,WR,0/0,0,0,0,3,18,0,32,389,3,55
219,Justin Hunter,Ten,WR,0/0,0,0,0,0,0,0,30,426,3,58
220,Chris Polk,Phi,RB,0/0,0,0,0,40,205,0,6,35,0,23
221,Rod Streater,Oak,WR,0/0,0,0,0,0,0,0,41,498,3,65
222,Stephen Hill,NYJ,WR,0/0,0,0,0,0,0,0,27,356,3,51
223,Brandon Jackson,Cle,RB,0/0,0,0,0,37,154,1,14,121,1,37
224,Willis McGahee,FA,RB,0/0,0,0,0,85,363,2,11,76,0,53
225,Jarius Wright,Min,WR,0/0,0,0,0,5,37,0,48,492,1,56
226,Julian Edelman,NE,WR,0/0,0,0,0,4,45,0,44,488,2,62
227,Eddie Royal,SD,WR,0/0,0,0,0,2,14,0,43,506,2,63
228,Beanie Wells,FA,RB,0/0,0,0,0,65,261,2,3,17,0,37
229,Davone Bess,Cle,WR,0/0,0,0,0,0,0,0,52,525,2,62
230,Mohamed Sanu,Cin,WR,0/0,0,0,0,5,26,0,41,403,4,64
231,Nate Washington,Ten,WR,0/0,0,0,0,1,12,0,23,342,3,53
232,Dolphins D/ST,Dolphins,D/ST,0/0,0,0,0,0,0,0,0,0,0,102
233,Jerome Simpson,Min,WR,0/0,0,0,0,0,0,0,27,349,2,44
234,Cedric Benson,FA,RB,0/0,0,0,0,87,376,2,9,65,0,53
235,Felix Jones,Phi,RB,0/0,0,0,0,50,222,0,18,117,0,31
236,Zach Miller,Sea,TE,0/0,0,0,0,0,0,0,40,438,3,59
237,Ronnie Brown,SD,RB,0/0,0,0,0,37,145,0,35,265,0,38
238,Mike Goodson,NYJ,RB,0/0,0,0,0,27,120,0,9,54,1,21
239,Riley Cooper,Phi,WR,0/0,0,0,0,0,0,0,38,458,3,59
240,LaRod Stephens-Howling,Pit,RB,0/0,0,0,0,26,122,0,17,115,0,23
241,Jake Locker,Ten,QB,209/378,2705,15,14,48,309,1,0,0,0,170
242,Shaun Draughn,KC,RB,0/0,0,0,0,30,123,0,30,246,0,34
243,Brent Celek,Phi,TE,0/0,0,0,0,0,0,0,47,590,1,63
244,Andre Ellington,Ari,RB,0/0,0,0,0,26,135,0,13,104,1,29
245,Jason Avant,Phi,WR,0/0,0,0,0,0,0,0,53,602,1,62
246,Donald Brown,Ind,RB,0/0,0,0,0,56,220,0,7,68,0,26
247,LeGarrette Blount,NE,RB,0/0,0,0,0,11,46,1,0,0,0,10
248,Christian Ponder,Min,QB,260/422,2679,17,13,51,204,1,0,0,0,165
249,Stepfan Taylor,Ari,RB,0/0,0,0,0,31,119,1,9,60,0,23
250,Doug Baldwin,Sea,WR,0/0,0,0,0,0,0,0,37,409,2,52
251,Latavius Murray,Oak,RB,0/0,0,0,0,26,112,0,10,56,0,16
252,Montario Hardesty,Cle,RB,0/0,0,0,0,39,154,2,0,0,0,27
253,Terrance Williams,Dal,WR,0/0,0,0,0,0,0,0,34,410,1,47
254,Brandon Bolden,NE,RB,0/0,0,0,0,26,121,1,0,0,0,18
255,Donnie Avery,KC,WR,0/0,0,0,0,1,2,0,37,484,1,52
256,Delone Carter,Ind,RB,0/0,0,0,0,31,116,0,0,0,0,11
257,Josh Morgan,Wsh,WR,0/0,0,0,0,3,20,0,44,488,1,56
258,Percy Harvin,Sea,WR,0/0,0,0,0,8,45,0,16,165,1,24
259,Joique Bell,Det,RB,0/0,0,0,0,9,45,0,26,210,0,25
260,Julius Thomas,Den,TE,0/0,0,0,0,0,0,0,37,439,3,59
261,Brandon Weeden,Cle,QB,249/448,3177,17,15,25,97,0,0,0,0,170
262,Scott Chandler,Buf,TE,0/0,0,0,0,0,0,0,36,385,4,60
263,Michael Crabtree,SF,WR,0/0,0,0,0,0,0,0,17,199,2,31
264,Domenik Hixon,Car,WR,0/0,0,0,0,0,0,0,33,400,2,50
265,Peyton Hillis,TB,RB,0/0,0,0,0,19,72,1,6,47,0,17
266,Marcedes Lewis,Jac,TE,0/0,0,0,0,0,0,0,50,564,2,66
267,Zach Ertz,Phi,TE,0/0,0,0,0,0,0,0,34,413,2,53
268,Brandon Gibson,Mia,WR,0/0,0,0,0,2,14,0,34,403,3,59
269,Leonard Hankerson,Wsh,WR,0/0,0,0,0,2,16,0,34,460,1,53
270,Jason Snelling,Atl,RB,0/0,0,0,0,17,66,0,25,187,1,30
271,Dexter McCluster,KC,WR,0/0,0,0,0,14,76,0,56,476,1,56
272,Bernard Scott,Cin,RB,0/0,0,0,0,23,94,0,13,92,0,18
273,Rex Burkhead,Cin,RB,0/0,0,0,0,21,75,1,4,22,0,15
274,Steven Hauschka,Sea,K,0/0,0,0,0,0,0,0,0,0,0,128
275,Cierre Wood,Hou,RB,0/0,0,0,0,16,66,0,2,17,0,7
276,Anthony Allen,Bal,RB,0/0,0,0,0,14,54,0,2,14,0,6
277,Heath Miller,Pit,TE,0/0,0,0,0,0,0,0,31,379,4,59
278,T.J. Graham,Buf,WR,0/0,0,0,0,3,27,0,24,256,2,39
279,Garrett Hartley,NO,K,0/0,0,0,0,0,0,0,0,0,0,127
280,Tashard Choice,Buf,RB,0/0,0,0,0,23,77,0,3,17,0,8
281,Markus Wheaton,Pit,WR,0/0,0,0,0,0,0,0,25,305,1,36
282,Joe McKnight,NYJ,RB,0/0,0,0,0,26,124,0,0,0,0,12
283,Dallas Clark,Bal,TE,0/0,0,0,0,0,0,0,31,343,3,50
284,A.J. Jenkins,SF,WR,0/0,0,0,0,0,0,0,21,301,2,40
285,Chris Ogbonnaya,Cle,RB,0/0,0,0,0,8,27,0,23,204,0,20
286,Denard Robinson,Jac,RB,0/0,0,0,0,14,67,0,6,49,0,10
287,Matt Flynn,Oak,QB,184/313,2145,14,9,31,99,1,0,0,0,134
288,Delanie Walker,Ten,TE,0/0,0,0,0,0,0,0,37,394,3,55
289,Jacoby Ford,Oak,WR,0/0,0,0,0,7,39,0,37,486,1,55
290,Geno Smith,NYJ,QB,144/263,1871,9,10,22,107,2,0,0,0,102
291,Da'Rel Scott,NYG,RB,0/0,0,0,0,12,55,0,1,14,0,6
292,Robbie Gould,Chi,K,0/0,0,0,0,0,0,0,0,0,0,125
293,Ray Graham,Hou,RB,0/0,0,0,0,0,0,0,0,0,0,0
294,Travis Kelce,KC,TE,0/0,0,0,0,0,0,0,37,377,2,49
295,Harry Douglas,Atl,WR,0/0,0,0,0,1,4,0,38,404,1,46
296,Mike Nugent,Cin,K,0/0,0,0,0,0,0,0,0,0,0,124
297,Kevin Kolb,Buf,QB,184/312,2002,11,11,16,60,0,0,0,0,104
298,Buccaneers D/ST,Buccaneers,D/ST,0/0,0,0,0,0,0,0,0,0,0,114
299,EJ Manuel,Buf,QB,104/193,1398,7,10,34,187,2,0,0,0,89
300,Leon Washington,NE,RB,0/0,0,0,0,22,96,0,5,44,0,11
301,Armando Allen,Chi,RB,0/0,0,0,0,31,137,0,2,14,0,12
302,Le'Ron McClain,SD,RB,0/0,0,0,0,17,52,1,9,37,0,14
303,Robert Meachem,SD,WR,0/0,0,0,0,2,11,0,15,223,1,29
304,James Starks,GB,RB,0/0,0,0,0,15,49,0,1,7,0,4
305,Alex Green,GB,RB,0/0,0,0,0,21,104,0,6,34,0,11
306,Mason Crosby,GB,K,0/0,0,0,0,0,0,0,0,0,0,121
307,Lawrence Tynes,TB,K,0/0,0,0,0,0,0,0,0,0,0,120
308,Giants D/ST,Giants,D/ST,0/0,0,0,0,0,0,0,0,0,0,104
309,Cyrus Gray,KC,RB,0/0,0,0,0,0,0,0,0,0,0,0
310,Tony Scheffler,Det,TE,0/0,0,0,0,0,0,0,32,332,2,43
311,Cardinals D/ST,Cardinals,D/ST,0/0,0,0,0,0,0,0,0,0,0,100
312,Kenjon Barner,Car,RB,0/0,0,0,0,0,0,0,0,0,0,0
313,Steve Breaston,NO,WR,0/0,0,0,0,0,0,0,18,249,1,30
314,Terrance Ganaway,StL,RB,0/0,0,0,0,0,0,0,0,0,0,0
315,Adam Vinatieri,Ind,K,0/0,0,0,0,0,0,0,0,0,0,120
316,Kerwynn Williams,Ind,RB,0/0,0,0,0,0,0,0,0,0,0,0
317,Falcons D/ST,Falcons,D/ST,0/0,0,0,0,0,0,0,0,0,0,100
318,Luke Stocker,TB,TE,0/0,0,0,0,0,0,0,38,358,2,47
319,Corey Fuller,Det,WR,0/0,0,0,0,0,0,0,19,249,2,36
320,Lestar Jean,Hou,WR,0/0,0,0,0,0,0,0,18,261,1,32
321,Kellen Winslow,NYJ,TE,0/0,0,0,0,0,0,0,39,427,2,52
322,Marcus Lattimore,SF,RB,0/0,0,0,0,0,0,0,0,0,0,0
323,Brandon Jacobs,FA,RB,0/0,0,0,0,0,0,0,0,0,0,0
324,Jordan Shipley,Jac,WR,0/0,0,0,0,0,0,0,42,445,1,48
325,Alex Henery,Phi,K,0/0,0,0,0,0,0,0,0,0,0,117
326,Javon Ringer,FA,RB,0/0,0,0,0,0,0,0,0,0,0,0
327,Browns D/ST,Browns,D/ST,0/0,0,0,0,0,0,0,0,0,0,85
328,Quinton Patton,SF,WR,0/0,0,0,0,0,0,0,26,353,2,47
329,Jackie Battle,Ten,RB,0/0,0,0,0,0,0,0,0,0,0,0
330,Mike James,TB,RB,0/0,0,0,0,0,0,0,0,0,0,0
331,Dwayne Harris,Dal,WR,0/0,0,0,0,0,0,0,31,362,1,42
332,Shaun Suisham,Pit,K,0/0,0,0,0,0,0,0,0,0,0,114
